mCherry.A.Comp.FITC.A,file
2.196005,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.979714,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.749962,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.909668,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.772236,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.479518,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.966436,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.624524,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.837724,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.404874,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.318667,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.282158,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.093828,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.128708,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.933283,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.508209,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.59868,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.564455,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.958032,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.602404,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.824714,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.604863,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.898175,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.381616,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
